sort_name;random_time;random_steps;sorted_time;sorted_steps;reversed_time;reversed_steps;same_el_time;same_el_steps
MergeSort;0.136;512;0.132;512;0.133;512;0.132;512
HoarSort;0.045;8833;0.008;9976;0.009;8977;0.008;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.024;0;0.002;0;0.037;0;0.002;0
BubbleSort;0.376;499500;0.253;499500;0.253;499500;0.254;499500
BubbleSortIverson1;0.383;498510;0.001;999;0.262;499500;0;999
BubbleSortIverson1&2;0.001;0;0.001;0;0;0;0.001;0
SelectionSort;0.966;499500;0.957;499500;0.958;499500;0.958;499500
LinearInsertionSort;0;0;0.001;0;0;0;0;0
BinaryInsertionSort;0.194;499500;0.192;499500;0.192;499500;0.193;499500
