sort_name;random_time_small;random_steps_small;random_time_big;random_steps_big;sorted_time;sorted_steps;reversed_time;reversed_steps;arr_len
RadixSort;1670;179800;2905;179800;1790;179800;1583;179800;2900
MergeSort;1557;31896;2115;31896;1397;31896;1756;31896;2900
HoarSort;290;8575;397;31079;153;32967;132;30705;2900
LomutoSort;9474;709598;757;39045;48654;3.64444e+06;33568;4.20645e+06;2900
HeapSort;1658;0;1965;0;2491;0;1823;0;2900
BubbleSort;54326;4.4985e+06;59371;4.4985e+06;21189;4.4985e+06;60547;4.4985e+06;3000
BubbleSortIverson1;49579;4.37475e+06;55682;4.49804e+06;35;5997;74781;4.4985e+06;3000
BubbleSortIverson1&2;59021;4.37374e+06;66930;4.48828e+06;53;5991;76368;4.4985e+06;3000
SelectionSort;18290;4.4985e+06;21246;4.4985e+06;18741;4.4985e+06;18834;4.4985e+06;3000
LinearInsertionSort;27630;1.89973e+06;32064;2.29266e+06;27;408;64226;4.4985e+06;3000
BinaryInsertionSort;19721;1.93044e+06;24228;2.32318e+06;158;32313;48960;4.52742e+06;3000
CountingSort;437;0;1085;0;1800;0;1192;0;3000
RadixSort;1688;186000;2475;186000;2775;186000;1857;186000;3000
MergeSort;1567;32998;1764;32998;2061;32998;1793;32998;3000
HoarSort;300;12200;409;28920;155;34239;136;31905;3000
LomutoSort;9609;757993;599;40129;51374;3.88171e+06;35894;4.5015e+06;3000
HeapSort;1695;0;2294;0;2146;0;1966;0;3000
BubbleSort;57151;4.80345e+06;70038;4.80345e+06;25804;4.80345e+06;68808;4.80345e+06;3100
BubbleSortIverson1;54222;4.66747e+06;59981;4.80255e+06;37;6197;68885;4.80345e+06;3100
BubbleSortIverson1&2;61831;4.65312e+06;66412;4.78631e+06;47;6193;77528;4.80345e+06;3100
SelectionSort;22361;4.80345e+06;20000;4.80345e+06;19934;4.80345e+06;20360;4.80345e+06;3100
LinearInsertionSort;28423;1.97536e+06;34316;2.36984e+06;27;443;69497;4.80345e+06;3100
BinaryInsertionSort;21927;2.00726e+06;24895;2.40154e+06;163;33548;50446;4.83347e+06;3100
CountingSort;452;0;1037;0;970;0;1431;0;3100
RadixSort;1795;192200;2148;192200;1911;192200;2238;192200;3100
MergeSort;1630;34095;1773;34095;1494;34095;1479;34095;3100
HoarSort;462;8824;674;29585;164;35467;140;33105;3100
LomutoSort;10246;814916;515;42357;52975;4.13605e+06;42699;4.80655e+06;3100
